,importance
AF8_alpha_rel_power,0.000472416361445243
C3_quartile_1,0.0004722782844489773
P2_median,0.00046938844408381616
P2_theta_power,0.00046909699731291976
FP2_quartile_3,0.0004677900939668959
F4_theta_rel_power,0.0004674417257533076
CP1_gamma_power,0.0004668881813325468
FC6_min,0.0004664936382188509
O2_theta_power,0.0004664791597397036
FC2_median,0.0004654630649568116
C6_beta_power,0.00046543305771942685
FT7_skew,0.00046532739006277095
FT7_beta_rel_power,0.0004647401678447219
Y_theta_rel_power,0.0004645172179731719
T7_theta_power,0.0004644092449297334
P7_alpha_power,0.0004640723136083046
PO7_quartile_1,0.00046133125386780985
OZ_alpha_rel_power,0.00046002443997062673
AFZ_beta_rel_power,0.0004598042325350759
F5_quartile_1,0.00045975926746757057
PO7_kurtosis,0.0004583294131273548
TP8_alpha_rel_power,0.0004578502149651417
FC4_delta_rel_power,0.0004560532639324727
C5_std,0.00045483968896200053
AFZ_theta_rel_power,0.0004539566140500991
TP8_quartile_1,0.0004537689166607488
P6_kurtosis,0.00045265466445841454
FCZ_alpha_power,0.00045248570990169497
FC1_ptp,0.000450304252661514
F7_delta_power,0.0004495317836377128
AF8_quartile_1,0.00044947796217827856
Y_mean,0.0004487129077687178
PO8_delta_power,0.0004471984800991757
PO7_quartile_3,0.00044630015036037
P8_beta_rel_power,0.00044523150220212497
AFZ_kurtosis,0.0004446835537736784
P7_delta_rel_power,0.00044454228596458
FC1_median,0.00044383490923586015
PO2_quartile_3,0.000443619848235013
Y_std,0.00044314518456090295
CP1_skew,0.0004429596630888241
T7_theta_rel_power,0.0004419013457771639
FC6_kurtosis,0.00044097547928936213
CP1_min,0.0004408307545110917
F4_alpha_rel_power,0.0004393209701809411
FT8_mean,0.0004392773653567973
P6_beta_power,0.00043802193309789254
FC2_beta_rel_power,0.0004377122989950907
OZ_theta_rel_power,0.0004365470435624877
CP6_kurtosis,0.0004353498681306412
CP4_kurtosis,0.0004353214641538822
PO1_median,0.0004348215408954581
F5_beta_rel_power,0.00043464366143834124
CP4_skew,0.00043098993210550227
FT8_quartile_1,0.0004303251166598707
PO2_theta_power,0.00043023466645737625
FC6_quartile_1,0.0004295005485922565
AF1_beta_rel_power,0.0004282367951681441
P1_ptp,0.00042780938633587824
CP5_quartile_1,0.00042760590914569976
FPZ_beta_power,0.00042680723633934894
F6_quartile_1,0.00042517315208984044
TP8_median,0.0004240224817219264
F5_min,0.0004230536977137348
CP2_gamma_rel_power,0.00042288684194999706
CP6_median,0.0004207248203133584
P2_alpha_rel_power,0.0004197011360334673
PO7_gamma_power,0.0004177343413860031
F5_gamma_rel_power,0.00041674955815103386
C4_beta_rel_power,0.0004163232708588703
F5_delta_rel_power,0.0004160018325901874
P4_min,0.000414737140119735
F2_quartile_3,0.00041442180205155846
X_gamma_power,0.0004129230789587614
AF1_theta_rel_power,0.0004120549914196346
OZ_kurtosis,0.00041107918375407376
OZ_beta_power,0.00041067149851906987
P3_min,0.00040594131173682656
AFZ_skew,0.00040561084336522535
PZ_gamma_power,0.0004051307527752568
PO2_beta_rel_power,0.00040397505202120337
P3_gamma_power,0.00040314108021713646
PZ_beta_rel_power,0.00040254958552881704
P8_theta_rel_power,0.0004008677907857245
Y_delta_rel_power,0.00040035232652257865
P2_delta_rel_power,0.00040009325833268003
FC3_min,0.0003972839241399468
P7_max,0.00039710736416965017
FT7_gamma_rel_power,0.0003965538536741036
CP5_skew,0.0003961462882792009
P3_quartile_1,0.00039180401343187296
FC1_beta_rel_power,0.00039096388456915195
CP4_delta_rel_power,0.0003901271263332638
CP3_delta_power,0.00038917360383578236
PO8_kurtosis,0.00038885895241181126
CP4_gamma_rel_power,0.00038853188421312607
X_theta_power,0.0003865215199020193
PO7_delta_rel_power,0.0003864523770068619
O2_max,0.0003832493449900566
FC3_alpha_rel_power,0.0003829547352108142
F6_delta_power,0.0003828049029029111
FP1_ptp,0.00038272857051631847
FC3_max,0.0003822531192430993
POZ_quartile_3,0.00038137693785579596
CP4_beta_rel_power,0.0003813105128885511
CPZ_median,0.00038001925575684685
FC3_alpha_power,0.000378759020799316
PO2_min,0.0003786318031382408
T7_ptp,0.0003785280998185042
CP5_beta_power,0.0003766427779537536
nd_theta_rel_power,0.0003765656611500462
F4_beta_rel_power,0.00037636267394223225
TP7_delta_power,0.0003759411391075064
P7_beta_rel_power,0.0003730569138804823
T8_skew,0.0003730061876229391
C4_alpha_power,0.00037286549548413707
F5_median,0.00037174926746522466
C3_max,0.0003716594079915838
PZ_alpha_rel_power,0.0003701412098825791
AF2_skew,0.00036782619005998524
PO1_skew,0.0003673498529728444
T8_gamma_rel_power,0.00036611389166141554
FC2_alpha_power,0.00036379547105334545
PO1_ptp,0.00036271495197894385
T8_quartile_3,0.0003620463870391211
O1_mean,0.0003612287870687952
C5_delta_power,0.0003603321002951013
FCZ_gamma_rel_power,0.00036020334984455157
C6_theta_rel_power,0.00035975908730908837
P8_mean,0.00035907631110179266
P7_kurtosis,0.0003579944543704722
P7_ptp,0.00035677708333879156
FP1_min,0.00035568299005107645
FC5_skew,0.00035563926752103325
F7_gamma_power,0.00035525772130740404
FP1_kurtosis,0.00035524419296096145
P3_mean,0.00035515026391053534
AF2_std,0.000354209974821102
C2_quartile_1,0.0003537248681298496
POZ_skew,0.0003524000756623875
F8_std,0.0003521479546353041
Y_beta_power,0.0003510533032691201
F2_gamma_power,0.0003505881092731827
C6_skew,0.00034951384933475473
FPZ_median,0.0003494760847498511
F5_delta_power,0.00034921014434097724
FT8_theta_rel_power,0.00034828821774299864
AFZ_quartile_3,0.0003455284675398931
AFZ_median,0.00034505416442662777
T7_std,0.000344533132794508
PO8_ptp,0.00034379528509342243
PO2_std,0.00034370235864273734
FT8_min,0.00034247389924995183
FC1_alpha_power,0.0003423528333464887
T8_alpha_rel_power,0.0003414826390765194
O1_kurtosis,0.00033704634434738304
FP2_skew,0.0003361429865008207
CP5_delta_rel_power,0.00033575419500545006
AF1_quartile_1,0.0003353702080558274
F6_min,0.00033524103738863804
CP6_mean,0.0003343359366295587
FC3_theta_power,0.0003335851941329105
P7_mean,0.0003332425083639934
FP2_theta_power,0.00033303002529968097
F5_std,0.00033193562802550383
CP2_theta_rel_power,0.00033144053493972003
O1_min,0.00033046001312719614
O1_beta_rel_power,0.00033044838722530873
PO7_median,0.0003295808546459742
F5_max,0.0003281467068584875
CP2_quartile_1,0.0003272440530492254
T8_kurtosis,0.0003272267052474989
CP5_ptp,0.000326986609523067
C3_kurtosis,0.00032496596777430707
Y_quartile_1,0.0003248044989845832
Y_alpha_rel_power,0.00032428518539413586
CP5_beta_rel_power,0.00032381201311770325
FC2_min,0.00032363615739889847
F4_delta_rel_power,0.00032351640024353036
POZ_gamma_rel_power,0.00032340695189838936
CP4_min,0.00032277762159995375
TP7_std,0.00032182503457720474
FZ_gamma_rel_power,0.000321615825578889
PO2_delta_power,0.0003214390162521097
C3_gamma_power,0.00032140530666343627
